track_id,track_name,track_popularity,track_duration_ms,explicit_lyrics,release_date,danceability,energy,musical_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year
5J99IEiKCd1aloAw1Gl1Ua,Vanità,42,182213,0,2016-11-04,0.586,0.628,10,-4.553,0,0.0318,0.028,0.0,0.405,0.28,116.03,4,2016.0
7qeQeyEcYWISbz3DIHT1ke,Paloma Negra - Live,60,189987,0,2016-09-23,0.451,0.461,3,-6.594,1,0.0796,0.335,1.24e-05,0.0456,0.45,163.83,3,2016.0
6AyFrKktqL7ikwIUUGLZut,Le soldat,51,192707,0,2013-01-01,0.601,0.455,6,-8.765,0,0.0345,0.753,0.0,0.125,0.445,142.107,3,2013.0
5tCsFjLoFDQN4zJamb775K,Les murs porteurs,43,285253,0,2013-01-01,0.472,0.408,6,-8.01,0,0.033,0.174,1.47e-05,0.387,0.216,132.35,4,2013.0
2cNjgoSh1TBHFQIhfzRJUE,Go,60,260697,1,2015-07-17,0.751,0.897,1,-3.598,1,0.0468,0.00957,2.88e-05,0.329,0.482,119.97,4,2015.0
3g5FrnRdbmDQyWNiDIprts,All Star - Ao Vivo,65,233613,0,2015-11-27,0.512,0.391,9,-10.4,1,0.0492,0.889,2.63e-06,0.714,0.277,138.094,4,2015.0
11gCclDeuUo7MI45nc4FxT,Sei,54,198467,0,2015-12-18,0.523,0.648,2,-6.871,1,0.045,0.3,0.000705,0.11,0.377,157.176,4,2015.0
3dor9wQtFRx1fqC7joWS6B,Só Posso Dizer (São Paulo),53,198765,0,2016-09-16,0.511,0.541,4,-8.841,1,0.0316,0.398,0.0,0.0986,0.719,73.931,4,2016.0
3XmlyO6IhBbhvWszwk0ZDW,Só Posso Dizer (São Paulo),48,198765,0,2016-11-11,0.511,0.541,4,-8.841,1,0.0316,0.398,0.0,0.0986,0.719,73.931,4,2016.0
1eVw2DL82LgHDPbnQ1Z7mh,Murder Me - Radio Edit,0,225828,0,2016-04-08,0.709,0.942,4,-3.875,1,0.0407,0.189,0.0,0.253,0.877,121.065,4,2016.0
0Ai604igwEqoW2CUzQwF0y,分分鐘需要你,49,252453,0,2016-05-16,0.791,0.269,9,-17.08,1,0.037,0.776,0.000202,0.124,0.591,110.017,4,2016.0
2AGJbEUIxOL3zfSxLq2stp,陪著你走,35,220587,0,2016-05-16,0.527,0.274,2,-15.772,1,0.0391,0.828,1.58e-05,0.106,0.381,123.264,4,2016.0
